dam_name,sub_basin,major_basin,map_district,latitude,longitude,map_water_level_m,map_filled_percent
Gandhisagar,Chambal,Ganges - Bramaputra,Neemuch,24.7,75.55,0.0,71.76
Gopikrishn Sagar,Chambal,Ganges - Bramaputra,Guna,24.55,77.23,0.0,61.1
Kaka Sahab gadagil sagar Project,Chambal,Ganges - Bramaputra,Neemuch,24.26,74.95,0.0,8.0
Kundalia Major Project,Chambal,Ganges - Bramaputra,Agar malwa,23.92,76.31,0.0,66.67
Kushalpura,Chambal,Ganges - Bramaputra,Rajgarh,23.79,76.89,0.0,78.15
Mohanpura,Chambal,Ganges - Bramaputra,Rajgarh,23.97,76.78,0.0,67.73
Retam Barrage,Chambal,Ganges - Bramaputra,Neemuch,24.35,75.08,0.0,12.0
Tillar,Chambal,Ganges - Bramaputra,Agar malwa,23.6,76.11,0.0,94.5
Aoda,Kunwari,Ganges - Bramaputra,Sheopur,25.52,76.79,0.0,97.48
Harsi Dam,Kunwari,Ganges - Bramaputra,Sheopur,25.75,77.23,0.0,70.88
Kotwal,Kunwari,Ganges - Bramaputra,Morena,26.49,78.13,0.0,100.0
Tigra,Kunwari,Ganges - Bramaputra,Gwalior,26.22,78.01,0.0,68.99
Kaketo,Sind,Ganges - Bramaputra,Gwalior,25.9,77.7,0.0,73.59
Manikheda,Sind,Ganges - Bramaputra,Shivpuri,25.56,77.85,0.0,55.17
Mahuar,Sind,Ganges - Bramaputra,Shivpuri,25.36,78.0,0.0,74.53
Mohini Pick up Weir,Sind,Ganges - Bramaputra,Shivpuri,25.67,77.89,0.0,45.68
Pehsari,Sind,Ganges - Bramaputra,Gwalior,25.98,77.77,0.0,77.0
Upper Kaketo,Sind,Ganges - Bramaputra,Shivpuri,25.86,77.58,0.0,60.49
Bansujara,Jamni,Ganges - Bramaputra,Tikamgarh,24.63,79.14,0.0,100.0
Kaliasote,Jamni,Ganges - Bramaputra,Bhopal,23.19,77.39,0.0,74.42
Kerwan,Jamni,Ganges - Bramaputra,Bhopal,23.17,77.36,0.0,64.65
Rajghat,Jamni,Ganges - Bramaputra,Ashoknagar,24.76,78.23,0.0,100.0
Sagad,Jamni,Ganges - Bramaputra,Vidisha,23.92,77.63,0.0,63.42
Samrat Ashok Sagar (Halali),Jamni,Ganges - Bramaputra,Raisen,23.5,77.55,0.0,51.0
Sanjay Sagar(Bah) Project,Jamni,Ganges - Bramaputra,Vidisha,23.77,77.51,0.0,37.99
Kutni,Ken,Ganges - Bramaputra,Chhatarpur,24.94,79.95,0.0,18.71
Pagara,Sindh,Ganges - Bramaputra,Morena,24.07,79.08,0.0,74.28
Pagra Tank (Feeder),Ken,Ganges - Bramaputra,Sagar,23.73,78.76,0.0,74.28
Pawai,Ken,Ganges - Bramaputra,Panna,24.2,80.36,0.0,67.23
Rangawan,Ken,Ganges - Bramaputra,Chhatarpur,24.7,79.86,0.0,31.93
Urmil,Ken,Ganges - Bramaputra,Chhatarpur,25.1,79.890718,0.0,26.92
Singhpur Barrage,Dhasan,Ganges - Bramaputra,Satna,24.77,80.57,0.0,54.63
Bansagar,Son,Ganges - Bramaputra,Satna,24.19,81.29,0.0,86.44
Mahan Dam,Son,Ganges - Bramaputra,Sidhi,24.23,81.54,0.0,42.12
Pench,Pench,Godavari,Chhindwara,22.12,79.17,0.0,95.4
Bawanthadi (Rajiv Sagar),Wainganga,Godavari,Balaghat,21.55,79.53,0.0,54.56
Thanwar,Wainganga,Godavari,Mandla,22.59,80.06,0.0,85.42
Wainganga (Sanjay Sarovar),Wainganga,Godavari,Seoni,22.38,79.66,0.0,93.83
Parasdoh,Tapi,Tapti,Betul,21.67,78.02,0.0,97.19
Bilgaon,Burhner,Narmada,Dindori,23.14,80.81,0.0,92.7
Matiyari,Burhner,Narmada,Mandla,22.52,80.58,0.0,74.19
Bargi,Banjar / Gaur,Narmada,Jabalpur,22.94,79.92,0.0,100.0
Barna Dam,Barna,Narmada,Raisen,23.05,78.06,0.0,76.84
Tawa,Tawa,Narmada,Hoshangabad,22.56,77.98,0.0,98.76
Kolar Dam,Kolar,Narmada,Sehore,22.96,77.35,0.0,74.25
Sukta,Sukta,Narmada,Khandwa,21.59,76.27,0.0,91.89
Indirasagar,Narmada,Narmada,Khandwa,22.28,76.47,0.0,95.72
Omkareshwar,Narmada,Narmada,Khandwa,22.24,76.16,0.0,42.3
Dejla Dewda,Veda,Narmada,Khargone,21.59,75.62,0.0,100.0
Dholawad,Mahi,Mahi,Ratlam,23.27,74.9,0.0,84.06
Mahi Main Dam,Mahi,Mahi,Dhar,22.88,74.99,0.0,95.27
Mahi Subsidiary Dam,Mahi,Mahi,Dhar,22.8,75.02,0.0,62.36
Kuwar Chain Sagar (Dudhi),Chambal,Chambal,Rajgarh,23.664356,76.91996,0.0,0.0
Dahod Dam,Betwa,Narmada,Raisen,23.028313,77.489426,0.0,17.55
