cwc_station_name,cwc_district,cwc_river,cwc_basin,cwc_latitude,cwc_longitude,cwc_start_date,cwc_end_date,cwc_daily_rows,cwc_missing_pct,cwc_nonzero_pct,station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m,cwc_to_forecast_distance_km,name_similarity_score,river_or_basin_match,linkage_score,candidate_rank
Abna at Khandwa,Khandwa,Narmada,Narmada,21.8133,76.3253,2019-06-01,2025-12-01,2371,0.21,22.86,MP1100_Kmnkd,Kamankheda,Khandwa,Narmada,Kaveri,22.165,76.23333333333333,440928077,7,9885.832494857046,40.24,0.4,True,0.5687,1
Abna at Khandwa,Khandwa,Narmada,Narmada,21.8133,76.3253,2019-06-01,2025-12-01,2371,0.21,22.86,MP1100_Bmnla,Bamnalla_Khargone,Khargon,Narmada,Veda,21.834444444444443,75.83583333333333,440976241,7,39820.51257861692,50.58,0.5161,True,0.5525,2
Abna at Khandwa,Khandwa,Narmada,Narmada,21.8133,76.3253,2019-06-01,2025-12-01,2371,0.21,22.86,MP1100_Bhdli,Bhadli,Khargon,Narmada,Veda,21.850833333333327,75.60527777777777,440983121,7,37207.352799811175,74.438,0.381,True,0.3739,3
Abna at Khandwa,Khandwa,Narmada,Narmada,21.8133,76.3253,2019-06-01,2025-12-01,2371,0.21,22.86,MP1100_Brtla,Behratola_Mandla,Mandla,Narmada,Burhner,22.5425,80.87,440962463,6,56038.311650724536,474.912,0.4667,True,0.2633,4
Abna at Khandwa,Khandwa,Narmada,Narmada,21.8133,76.3253,2019-06-01,2025-12-01,2371,0.21,22.86,MP1100_Dgnwa,Doganwa_Khargone,Khargon,Narmada,Veda,22.114722222222223,74.6686111111111,440985878,7,8465.050850924663,174.101,0.4667,True,0.2633,5
BURHANPUR,RAJGARH,Tapi,Tapi,21.29833333,76.23611111,2001-01-01,2025-10-30,7178,20.85,81.21,MP0225_Bishp,Bishanpur,Vidisha,Ganga,Yamuna,24.04611111111111,77.955,441039449,6,18031.983264285434,352.773,0.7778,False,0.2722,1
BURHANPUR,RAJGARH,Tapi,Tapi,21.29833333,76.23611111,2001-01-01,2025-10-30,7178,20.85,81.21,MP1100_Bmnla,Bamnalla_Khargone,Khargon,Narmada,Veda,21.834444444444443,75.83583333333333,440976241,7,39820.51257861692,72.574,0.32,False,0.2628,2
BURHANPUR,RAJGARH,Tapi,Tapi,21.29833333,76.23611111,2001-01-01,2025-10-30,7178,20.85,81.21,MP1001_BLKDN,Balkhedan,Betul,Tapi,Purna,21.4,77.67222222222222,440988608,7,144272.89507037407,149.159,0.4444,True,0.2556,3
BURHANPUR,RAJGARH,Tapi,Tapi,21.29833333,76.23611111,2001-01-01,2025-10-30,7178,20.85,81.21,MP0228_Mohnp,Mohanpur,Ashok Nagar,Ganga,Yamuna,24.829444444444444,78.0797222222222,441109595,6,10657.5390361081,435.575,0.7059,False,0.2471,4
BURHANPUR,RAJGARH,Tapi,Tapi,21.29833333,76.23611111,2001-01-01,2025-10-30,7178,20.85,81.21,MP0611_RTNPR,Ratanpur,Seoni,Godavari,Wainganga,22.18305555555555,79.96027777777778,440962463,6,66462.31729945733,397.02,0.7059,False,0.2471,5
Bakhari,SEONI,Godavari,Godavari,22.32472222,79.46805556,2019-09-26,2025-12-31,1595,30.32,96.55,MP0610_BNDOL,Bandol,Seoni,Godavari,Wainganga,22.23833333333333,79.5286111111111,440956950,6,86149.81216860679,11.45,0.3077,True,0.6947,1
Bakhari,SEONI,Godavari,Godavari,22.32472222,79.46805556,2019-09-26,2025-12-31,1595,30.32,96.55,MP0620_HRKHR,Hirankheri,Chhindwara,Godavari,Wainganga,21.962499999999995,79.1436111111111,440785017,6,83091.14737937962,52.334,0.5882,True,0.568,2
