station_name,district,river,basin,latitude,longitude,start_date,end_date,daily_rows,missing_days,missing_pct,nonzero_days,nonzero_pct,mean_discharge_cms,max_discharge_cms,duplicate_day_aggregates
Bakhari,SEONI,Godavari,Godavari,22.32472222,79.46805556,2019-09-26,2025-12-31,1595,694,30.32,1540,96.55,21.262,880.0,1
Bichhubaggu,CHHINDWARA,Godavari,Godavari,21.69277778,78.86333333,2019-08-17,2025-12-31,1242,1087,46.67,1231,99.11,19.239,5451.353,11
Chhinda,CHHINDWARA,Godavari,Godavari,22.18527778,78.9775,2022-12-09,2025-12-08,435,661,60.31,425,97.7,27.284,551.881,44
Keolari,SEONI,Godavari,Godavari,22.38138889,79.89972222,2001-01-01,2025-12-31,8480,651,7.13,7800,91.98,32.507,4517.671,28
Kokiwada,CHHINDWARA,Godavari,Godavari,21.89777778,79.23444444,2020-01-14,2025-12-24,840,1332,61.33,837,99.64,80.234,4335.514,122
Kumhari,BALAGHAT,Godavari,Godavari,21.88444444,80.17527778,2001-01-01,2025-12-31,8383,748,8.19,8372,99.87,105.581,16747.0,39
Lodhikheda,CHHINDWARA,Godavari,Godavari,21.57944444,78.86583333,2019-08-17,2025-12-31,1317,1012,43.45,1302,98.86,25.126,5452.2,123
Magardharra,BALAGHAT,Godavari,Godavari,21.95583333,80.10916667,2020-06-01,2025-12-24,1734,299,14.71,1730,99.77,132.724,8113.55,69
Rajegaon,BALAGHAT,Godavari,Godavari,21.62388889,80.25333333,2001-01-01,2025-12-31,7956,1175,12.87,6642,83.48,89.025,9681.602,1
Ramakona,UMARIA,Godavari,Godavari,21.71888889,78.82416667,2001-01-01,2025-12-18,7540,1578,17.31,6831,90.6,23.356,4548.247,60
Mataji,RATLAM,Mahi,Mahi,23.34972222,74.71805556,2001-01-01,2025-10-28,5464,3603,39.74,3761,68.83,47.406,8074.802,24
Abna at Khandwa,Khandwa,Narmada,Narmada,21.8133,76.3253,2019-06-01,2025-12-01,2371,5,0.21,542,22.86,3.063,155.0,45
Bamni,MANDLA,Narmada,Narmada,22.485,80.37638889,2002-01-01,2025-12-31,8119,647,7.38,6010,74.02,30.783,2568.1,8
Barmanghat,NARSIMHAPUR,Narmada,Narmada,23.03055556,79.01583333,2001-01-01,2025-12-31,8944,187,2.05,8944,100.0,369.572,17020.0,1977
Beda at Satwadi(Gogawa),Khargone,Narmada,Narmada,21.91805556,75.74833333,2019-06-01,2025-12-31,2377,29,1.21,2011,84.6,29.118,1000.0,96
Belkhedi,NARSIMHAPUR,Narmada,Narmada,22.92888889,79.34027778,2001-01-01,2025-12-31,8862,269,2.95,8386,94.63,26.851,4803.158,2198
Belkund at Ghughra,JABALPUR,Narmada,Narmada,23.48638889,80.19638889,2019-06-01,2025-12-31,2406,0,0.0,2255,93.72,7.486,268.0,19
Bhamgarh,Khandwa,Narmada,Narmada,21.84361111,76.50388889,2019-07-01,2025-12-01,2341,5,0.21,1127,48.14,31.831,1262.132,3
Borad at Thikri,BARWANI,Narmada,Narmada,22.073,75.40397222,2019-06-01,2025-12-31,2332,74,3.08,1762,75.56,10.514,150.0,47
Chakrar at Gadasarai,DINDORI,Narmada,Narmada,22.82638889,81.32444444,2019-06-24,2025-12-31,2367,16,0.67,2105,88.93,15.586,522.5,10
Chhidgaon,HARDA,Narmada,Narmada,22.40611111,77.30805556,2001-01-01,2025-12-31,8815,316,3.46,7335,83.21,36.002,9625.0,119
Choral at Barwah,Khargone,Narmada,Narmada,22.24583333,76.05111111,2019-07-01,2025-12-31,2223,153,6.44,1345,60.5,5.397,205.12,55
Datuni at Dudwas,DEWAS,Narmada,Narmada,22.56722222,76.68833333,2019-07-01,2025-11-04,2315,4,0.17,1417,61.21,23.911,1350.0,84
Deb at Khajuri,BARWANI,Narmada,Narmada,21.97077778,75.25780556,2019-06-01,2025-12-31,2378,28,1.16,1506,63.33,9.329,155.0,38
Denwa at Matkuli,HOSHANGABAD,Narmada,Narmada,22.58555556,78.45944444,2019-06-01,2025-12-31,2406,0,0.0,2257,93.81,39.372,2154.0,1075
Dhulsar,DHAR,Narmada,Narmada,22.20677778,74.85147222,2001-01-01,2025-12-31,6908,2223,24.35,2360,34.16,5.077,1094.272,81
Dindori,DINDORI,Narmada,Narmada,22.94777778,81.07611111,2001-01-01,2025-12-31,8411,720,7.89,8368,99.49,42.936,2400.0,21
Dudhi at Panagar,NARSIMHAPUR,Narmada,Narmada,22.83694444,78.60277778,2019-06-01,2025-12-31,2406,0,0.0,1691,70.28,22.682,390.83,1075
Gadarwara,NARSIMHAPUR,Narmada,Narmada,22.92333333,78.78944444,2001-01-01,2025-12-31,8392,739,8.09,7523,89.64,53.76,4985.0,1782
Gaur at Bhalawara,JABALPUR,Narmada,Narmada,23.10888889,79.98833333,2019-06-01,2025-12-31,2406,0,0.0,2023,84.08,17.356,950.3,2
Handia,HARDA,Narmada,Narmada,22.49194444,76.99333333,2001-01-01,2025-12-31,9004,127,1.39,9004,100.0,751.235,40000.0,519
Hathed at Misrod,HOSHANGABAD,Narmada,Narmada,22.63861111,77.55944444,2019-06-01,2025-12-31,2406,0,0.0,1959,81.42,10.638,321.1,1144
Hiran at Singaldeep,JABALPUR,Narmada,Narmada,23.38613889,79.90886111,2019-06-01,2025-12-31,2402,4,0.17,2158,89.84,27.388,830.51,17
Indra at Khapriya,HOSHANGABAD,Narmada,Narmada,22.5722,77.4817,2019-06-01,2025-12-31,2406,0,0.0,1977,82.17,10.262,450.0,1163
Jamner at Sandalpur,DEWAS,Narmada,Narmada,22.5775,76.97138889,2019-07-01,2025-11-23,2336,2,0.09,1221,52.27,24.425,1500.0,2
Kalimachak at Charuwa,HARDA,Narmada,Narmada,22.07361111,76.91444444,2019-07-01,2025-11-30,2328,17,0.72,1612,69.24,11.518,550.8,29
Kaner at Mendhikheda,Khargone,Narmada,Narmada,22.40861111,76.21972222,2019-06-01,2025-12-31,2406,0,0.0,2026,84.21,17.622,500.0,114
Karam at Dahiwar,DHAR,Narmada,Narmada,22.22286111,75.53086111,2019-06-01,2025-12-31,2283,123,5.11,993,43.5,10.09,192.0,157
Kolar at Mahgaon,SEHORE,Narmada,Narmada,22.7136,77.3664,2019-06-01,2025-11-20,2363,2,0.08,1829,77.4,40.674,557.592,56
Maan at Gopalpura,DHAR,Narmada,Narmada,22.2615,75.10194444,2019-06-01,2025-12-31,2350,56,2.33,1838,78.21,13.621,285.0,40
Machak at Barangi,HARDA,Narmada,Narmada,22.21694444,76.945,2019-03-01,2025-12-31,2407,91,3.64,1995,82.88,15.714,750.3,31
Machna at Shahpur,BETUL,Narmada,Narmada,22.19472222,77.89833333,2019-07-01,2025-12-31,2376,0,0.0,1804,75.93,7.514,551.31,9
