station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.05,77.46666666666667,441116414,8,34720.228320648675
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,104886.98728563802
MP0212_Sindu,Sinduriya,Ratlam,Ganga,Yamuna,23.66083333333333,75.21555555555554,441003684,6,41578.69098614292
MP0213_Gurah,Guraha,Ujjain,Ganga,Yamuna,23.316944444444445,75.61916666666667,441003684,6,75306.21843259815
MP0213_Snwer,Sanwar,Indore,Ganga,Yamuna,22.98055555555556,75.82999999999998,440978990,7,93137.1424817381
MP0214_Mndsr,Mandsour,Mandsaur,Ganga,Yamuna,24.06833333333333,75.03083333333333,441050455,6,43742.30690449685
MP0215_Biora,Biora_C,Rajgarh,Ganga,Yamuna,23.92111111111111,77.9075,441039449,6,33970.07458815503
MP0215_Choma,Choma,Sajapur,Ganga,Yamuna,23.649166666666662,76.22277777777778,441049088,6,90500.29163190376
MP0215_Hargn,HarganKhedi _C,Shajapur,Ganga,Yamuna,23.61499999999999,76.1511111111111,441003684,6,85388.34430915157
MP0215_Pachr,Pachore,Rajgarh,Ganga,Yamuna,23.71,76.72972222222222,441106858,6,100457.13530412097
MP0215_Rajgr,Rajgarh,Rajgarh,Ganga,Yamuna,24.012500000000003,76.73972222222221,441106858,6,65373.91229756935
MP0215_Smskh,Samaskhedi,Dawas,Ganga,Yamuna,23.191666666666663,76.43388888888887,440948707,7,99756.09332826416
MP0215_Sonkh,Sonkatch _C,Dawas,Ganga,Yamuna,22.975277777777773,76.34194444444445,440980362,7,77186.50104248557
MP0216_Mankh,Manakhedi,Bhopal,Ganga,Yamuna,23.71,77.18444444444444,441039449,6,110531.16028013284
MP0216_Mksud,Maksudangar,Guna,Ganga,Yamuna,24.044722222222223,77.18027777777776,441106858,6,91926.81648890782
MP0216_Pilkh,Pillukhedi,Rajgarh,Ganga,Yamuna,23.45972222222222,77.075,440945950,7,105270.1782970173
MP0217_Seep,Seep Aquaduct_C,Morena,Ganga,Yamuna,25.677777777777777,76.6975,441185236,6,20285.82190699761
