station_code,forecast_station_name,forecast_district,forecast_river,cwc_station_name,cwc_district,cwc_river,cwc_basin,cwc_to_forecast_distance_km,name_similarity_score,linkage_score,linkage_confidence,auto_approved,linked_comid,streamorder,manual_approved,manual_cwc_station_name,review_status,review_notes
MP0623_LDKDA,Lodhikheda,Chhindwara,Godavari,Lodhikheda,CHHINDWARA,Godavari,Godavari,0.042,1.0,0.9998,High,True,440785017,6,True,Lodhikheda,High,
MP0622_RMKON,Ramakona,Chhindwara,Godavari,Ramakona,UMARIA,Godavari,Godavari,4.384,1.0,0.9759,High,True,440785017,6,True,Ramakona,High,
MP1100_Bmhni,Bamhni_Mandla,Mandla,Narmada,Bamni,MANDLA,Narmada,Narmada,1.016,0.5882,0.8503,High,True,440962463,6,True,Bamni,High,
MP1100_Bmhni,Bamhni_Mandla,Mandla,Narmada,Mandla,MANDLA,Narmada,Narmada,12.788,0.6667,0.813,High,True,440962463,6,True,Mandla,High,
MP1100_Thkri,Thikri,Khargon,Narmada,Borad at Thikri,BARWANI,Narmada,Narmada,8.208,0.5714,0.8049,High,True,440970738,7,True,Borad at Thikri,High,
MP1100_Shahp,Shahpur,Betul,Narmada,Machna at Shahpur,BETUL,Narmada,Narmada,9.804,0.5833,0.8002,High,True,440928059,7,True,Machna at Shahpur,High,
MP1100_Pangr,Panagar_Narsinghpur,Narsimhapur,Narmada,Dudhi at Panagar,NARSIMHAPUR,Narmada,Narmada,0.194,0.4118,0.7931,Moderate,True,441043628,6,True,Dudhi at Panagar,Moderate,
MP0610_DEGHT,Deoghat,Seoni,Godavari,Keolari,SEONI,Godavari,Godavari,8.894,0.4286,0.7511,Moderate,True,440912919,6,True,Keolari,Moderate,
MP1100_Strna,Satrana,Sehore,Narmada,Kolar at Mahgaon,SEHORE,Narmada,Narmada,4.747,0.3478,0.7456,Moderate,True,440940446,7,True,Kolar at Mahgaon,Moderate,
MP0612_MNPUR,Manpur,Balaghat,Godavari,Magardharra,BALAGHAT,Godavari,Godavari,8.895,0.3529,0.7246,Moderate,True,440760233,6,True,Magardharra,Moderate,
MP1100_Bmhni,Bamhni_Mandla,Mandla,Narmada,Matiyari at Katangatola,MANDLA,Narmada,Narmada,5.613,0.2857,0.7191,Moderate,True,440962463,6,True,Matiyari at Katangatola,Moderate,
MP0621_CHAND,Chand,Chhindwara,Godavari,Chhinda,CHHINDWARA,Godavari,Godavari,30.216,0.6667,0.7171,Moderate,True,440785017,6,True,Chhinda,Moderate,
MP1100_Ktngi,Katangi_Jabalpur,Jabalpur,Narmada,Hiran at Singaldeep,JABALPUR,Narmada,Narmada,10.355,0.3529,0.7166,Moderate,True,441067015,6,True,Hiran at Singaldeep,Moderate,
MP1100_Bmnla,Bamnalla_Khargone,Khargon,Narmada,Beda at Satwadi(Gogawa),Khargone,Narmada,Narmada,12.96,0.3784,0.7112,Moderate,True,440976241,7,True,Beda at Satwadi(Gogawa),Moderate,
MP0615_KRNPR,Kiranapur,Balaghat,Godavari,Rajegaon,BALAGHAT,Godavari,Godavari,12.143,0.3529,0.7067,Moderate,True,440760233,6,True,Rajegaon,Moderate,
MP1100_Slwda,Saliwada_Jabalpur,Jabalpur,Narmada,Gaur at Bhalawara,JABALPUR,Narmada,Narmada,2.647,0.1818,0.6991,Moderate,True,441011977,6,True,Gaur at Bhalawara,Moderate,
MP0610_BNDOL,Bandol,Seoni,Godavari,Bakhari,SEONI,Godavari,Godavari,11.45,0.3077,0.6947,Moderate,True,440956950,6,True,Bakhari,Moderate,
MP0610_BLGHT,Balaghat,Balaghat,Godavari,Kumhari,BALAGHAT,Godavari,Godavari,9.067,0.2667,0.6935,Moderate,True,440760233,6,True,Kumhari,Moderate,
MP0621_CHAND,Chand,Chhindwara,Godavari,Kokiwada,CHHINDWARA,Godavari,Godavari,12.735,0.3077,0.6876,Moderate,True,440785017,6,True,Kokiwada,Moderate,
MP1100_Kmnkd,Kamankheda,Khandwa,Narmada,Kaner at Mendhikheda,Khargone,Narmada,Narmada,27.125,0.5333,0.6875,Moderate,True,440928077,7,True,Kaner at Mendhikheda,Moderate,
MP1100_Strna,Satrana,Sehore,Narmada,Sip at Dholpur,SEHORE,Narmada,Narmada,17.9,0.381,0.6849,Moderate,True,440940446,7,True,Sip at Dholpur,Moderate,
MP0623_LDKDA,Lodhikheda,Chhindwara,Godavari,Bichhubaggu,CHHINDWARA,Godavari,Godavari,12.636,0.2857,0.6805,Moderate,True,440785017,6,True,Bichhubaggu,Moderate,
MP1100_Ktngi,Katangi_Jabalpur,Jabalpur,Narmada,Patan,JABALPUR,Narmada,Narmada,20.321,0.4,0.6782,Moderate,True,441067015,6,True,Patan,Moderate,
MP1100_Thkri,Thikri,Khargon,Narmada,Karam at Dahiwar,DHAR,Narmada,Narmada,18.045,0.3636,0.678,Moderate,True,440970738,7,True,Karam at Dahiwar,Moderate,
MP1100_Nrngr,Noornagar,Raisen,Narmada,Tenduni at Maheshwar,RAISEN,Narmada,Narmada,16.925,0.3448,0.6776,Moderate,True,441050508,6,True,Tenduni at Maheshwar,Moderate,
MP1100_Khrni,Khirhani_Jabalpur,Jabalpur,Narmada,Belkund at Ghughra,JABALPUR,Narmada,Narmada,10.559,0.2353,0.6743,Moderate,True,441045000,6,True,Belkund at Ghughra,Moderate,
MP1100_Ghgri,Ghughari_Mandla,Mandla,Narmada,Mohgaon,MANDLA,Narmada,Narmada,14.326,0.2857,0.6712,Moderate,True,440962463,6,True,Mohgaon,Moderate,
MP1100_Kuksi,Kukshi,Dhar,Narmada,Dhulsar,DHAR,Narmada,Narmada,6.987,0.1538,0.6654,Moderate,True,440970741,7,True,Dhulsar,Moderate,
MP1100_Dhlsr,Dhulsar_Dhar,Dhar,Narmada,Tawa at Tawakathi,BETUL,Narmada,Narmada,6.886,0.1429,0.6621,Moderate,True,440928059,7,True,Tawa at Tawakathi,Moderate,
MP1100_Pangr,Panagar_Narsinghpur,Narsimhapur,Narmada,Gadarwara,NARSIMHAPUR,Narmada,Narmada,21.434,0.3704,0.6617,Moderate,True,441043628,6,True,Gadarwara,Moderate,
MP1100_Tamer,Temar_Jabalpur,Jabalpur,Narmada,Manot,MANDLA,Narmada,Narmada,13.073,0.2222,0.6559,Moderate,True,440932188,6,True,Manot,Moderate,
MP1100_Thkri,Thikri,Khargon,Narmada,Deb at Khajuri,BARWANI,Narmada,Narmada,25.577,0.4,0.6493,Needs Review,False,440970738,7,False,Deb at Khajuri,Needs Review,
MP1100_Plsud,Palsud,Khargon,Narmada,Pati,BARWANI,Narmada,Narmada,26.041,0.4,0.6468,Needs Review,False,440965237,7,False,Pati,Needs Review,
MP1100_Strna,Satrana,Sehore,Narmada,Indra at Khapriya,HOSHANGABAD,Narmada,Narmada,17.112,0.25,0.6434,Needs Review,False,440940446,7,False,Indra at Khapriya,Needs Review,
