reservoir_name,dam_name,district,sub_basin,major_basin,elevation_m,relative_depth_fraction,water_spread_area_sqkm,cumulative_storage_mcm,storage_percent,curve_beta,curve_method,capacity_confidence
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,356.62,0.0,0.0,0.0,0.0,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,357.195,0.04,46.11878,18.28689,0.938,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,357.77,0.08,63.02766,49.9831,2.563,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,358.346,0.12,75.66296,90.00498,4.616,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,358.921,0.16,86.13597,136.61757,7.006,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,359.496,0.2,95.24786,188.83704,9.684,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,360.071,0.24,103.40385,246.00841,12.616,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,360.646,0.28,110.84217,307.65574,15.777,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,361.222,0.32,117.71667,373.41342,19.149,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,361.797,0.36,124.13346,442.98942,22.717,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,362.372,0.4,130.16931,516.14364,26.469,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,362.947,0.44,135.88184,592.67428,30.394,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,363.522,0.48,141.3156,672.40871,34.482,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,364.098,0.52,146.50585,755.1971,38.728,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,364.673,0.56,151.48108,840.90785,43.123,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,365.248,0.6,156.26465,929.42421,47.663,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,365.823,0.64,160.87603,1020.64171,52.341,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,366.398,0.68,165.33164,1114.46615,57.152,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,366.974,0.72,169.64546,1210.81206,62.093,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,367.549,0.76,173.82953,1309.60142,67.159,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,368.124,0.8,177.89428,1410.76268,72.347,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,368.699,0.84,181.84884,1514.22988,77.653,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,369.274,0.88,185.70124,1619.942,83.074,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,369.85,0.92,189.45859,1727.84237,88.607,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,370.425,0.96,193.12722,1837.87816,94.25,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,371.0,1.0,196.7128,1950.0,100.0,0.45063,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Bawanthadi (Rajiv Sagar),Bawanthadi (Rajiv Sagar),Balaghat,Wainganga,Godavari,333.5,0.0,0.0,0.0,0.0,0.16597,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Bawanthadi (Rajiv Sagar),Bawanthadi (Rajiv Sagar),Balaghat,Wainganga,Godavari,333.936,0.04,15.9678,5.97094,2.344,0.16597,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Bawanthadi (Rajiv Sagar),Bawanthadi (Rajiv Sagar),Balaghat,Wainganga,Godavari,334.372,0.08,17.91465,13.39787,5.261,0.16597,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Bawanthadi (Rajiv Sagar),Bawanthadi (Rajiv Sagar),Balaghat,Wainganga,Godavari,334.808,0.12,19.16175,21.49581,8.44,0.16597,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Bawanthadi (Rajiv Sagar),Bawanthadi (Rajiv Sagar),Balaghat,Wainganga,Godavari,335.244,0.16,20.09888,30.06278,11.804,0.16597,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Bawanthadi (Rajiv Sagar),Bawanthadi (Rajiv Sagar),Balaghat,Wainganga,Godavari,335.68,0.2,20.85722,38.99633,15.312,0.16597,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
Bawanthadi (Rajiv Sagar),Bawanthadi (Rajiv Sagar),Balaghat,Wainganga,Godavari,336.116,0.24,21.49802,48.23331,18.938,0.16597,rs_top_area_official_capacity_calibrated,High - official capacity calibrated
