reservoir_name,dam_name,district,sub_basin,major_basin,elevation_m,relative_depth_fraction,water_spread_area_sqkm,segmental_live_capacity_mcm,cumulative_storage_mcm,storage_percent,curve_beta,curve_method,capacity_confidence,matched_waterbody_name,fabdem_sample_count,fabdem_min_m,fabdem_max_m,fabdem_p05_m,fabdem_p95_m
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,356.62,0.0,0.0,0.0,0.0,0.0,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,357.195,0.04,70.02836,21.34717,21.34717,1.095,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,357.77,0.08,72.49272,43.44557,64.79274,3.323,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,358.346,0.12,75.65278,45.1601,109.95284,5.639,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,358.921,0.16,81.195,47.81287,157.76571,8.091,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,359.496,0.2,87.61722,51.46006,209.22577,10.73,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,360.071,0.24,93.33163,55.15974,264.38551,13.558,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,360.646,0.28,99.05729,58.64709,323.0326,16.566,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,361.222,0.32,104.89717,62.17268,385.20529,19.754,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,361.797,0.36,111.97961,66.11187,451.31716,23.144,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,362.372,0.4,118.15349,70.15288,521.47004,26.742,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,362.947,0.44,124.484,73.96467,595.43471,30.535,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,363.522,0.48,130.50559,77.73003,673.16475,34.521,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,364.098,0.52,136.35325,81.34821,754.51296,38.693,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,364.673,0.56,141.50522,84.7013,839.21426,43.037,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,365.248,0.6,146.43741,87.77531,926.98957,47.538,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,365.823,0.64,151.49073,90.81926,1017.80882,52.195,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,366.398,0.68,155.94354,93.71707,1111.52589,57.001,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,366.974,0.72,159.92044,96.28675,1207.81264,61.939,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,367.549,0.76,163.65159,98.63644,1306.44908,66.997,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,368.124,0.8,167.34294,100.89909,1407.34817,72.172,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,368.699,0.84,171.11909,103.17545,1510.52362,77.463,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,369.274,0.88,174.94456,105.4927,1616.01632,82.873,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,369.85,0.92,178.66187,107.79201,1723.80833,88.4,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,370.425,0.96,183.31803,110.34455,1834.15288,94.059,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,371.0,1.0,196.7128,115.84712,1950.0,100.0,,stage2b_fabdem_hypsometry_official_capacity_calibrated,High - official capacity calibrated,Rajghat,227336,358.0,406.23,358.0,369.24
