reservoir_name,dam_name,district,sub_basin,major_basin,latitude,longitude,lsl_m,frl_m,active_depth_m,official_live_capacity_mcm,matched_waterbody_name,waterbody_area_sqkm,waterbody_match_score,waterbody_distance_km,rs_geometry_capacity_mcm,calibrated_capacity_mcm,hypsometric_shape_factor,latest_water_level_m,latest_reported_storage_mcm,model_storage_from_level_mcm,model_vs_reported_storage_pct_of_capacity,capacity_confidence,method
Rajghat,Rajghat,Ashoknagar,Jamni,Ganges - Bramaputra,24.76,78.23,356.62,371.0,14.38,1950.0,Rajghat,196.7128,1.22,11.424,1188.066,1950.0,0.6894,365.45,917.5,1009.502,4.718,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Bawanthadi (Rajiv Sagar),Bawanthadi (Rajiv Sagar),Balaghat,Wainganga,Godavari,21.55,79.53,333.5,344.4,10.9,254.686,Bawanthedi,27.2438,0.8572,0.356,124.722,254.686,0.8577,336.5,33.659,44.627,4.306,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Parasdoh Tank,Parasdoh,Betul,Tapi,Tapti,21.67,78.02,623.85,639.1,15.25,69.82,Parasdoh,10.5098,1.2496,2.981,67.315,69.82,0.4356,631.0,14.6,25.112,15.056,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Kaliasote,Kaliasote,Bhopal,Jamni,Ganges - Bramaputra,23.19,77.39,486.16,505.67,19.51,34.41,Kaliyasote,3.4545,1.2188,0.941,28.307,34.41,0.5105,502.5,21.53,27.085,16.143,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Kerwa,Kerwan,Bhopal,Jamni,Ganges - Bramaputra,23.17,77.36,500.79,509.93,9.14,22.56,Kerwa,4.0037,1.2577,0.644,15.37,22.56,0.6165,502.52,1.95,2.385,1.927,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Kutni,Kutni,Chhatarpur,Ken,Ganges - Bramaputra,24.94,79.95,191.45,203.5,12.05,131.07,Kutni,7.8947,1.2526,2.111,39.955,131.07,1.3778,200.2,77.064,85.091,6.124,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Rangawan,Rangawan,Chhatarpur,Ken,Ganges - Bramaputra,24.7,79.86,219.76,233.17,13.41,155.19,Rangawan,4.9936,1.2536,1.823,28.125,155.19,2.3175,224.21,21.05,35.004,8.992,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Urmil,Urmil,Chhatarpur,Ken,Ganges - Bramaputra,25.1,79.890718,228.29,237.43,9.14,112.4,Urmil,10.6941,1.105,21.428,41.052,112.4,1.1499,233.6,38.15,53.997,14.098,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Pench Diversion,Pench,Chhindwara,Pench,Godavari,22.12,79.17,613.4,625.75,12.35,421.26,Pench,47.9771,1.2463,3.919,248.857,421.26,0.711,614.99,32.81,26.466,-1.506,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Mahi Subsidiary,Mahi Subsidiary Dam,Dhar,Mahi,Mahi,22.8,75.02,467.17,474.3,7.13,39.48,Mahi Subsidary,5.1115,1.2297,1.569,15.307,39.48,1.0833,467.3,0.5,0.177,-0.818,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Bilgaon Medium Project,Bilgaon,Dindori,Burhner,Narmada,23.14,80.81,690.5,701.0,10.5,53.697,Bilagaon,8.6016,1.2085,0.989,37.933,53.697,0.5945,694.48,16.029,14.494,-2.859,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Gopikrishna Sagar,Gopikrishn Sagar,Guna,Chambal,Ganges - Bramaputra,24.55,77.23,421.0,434.0,13.0,78.11,Gopikishan Sagar,8.2369,1.1765,3.272,44.973,78.11,0.7295,429.21,33.79,42.0,10.51,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Kaketo,Kaketo,Gwalior,Sind,Ganges - Bramaputra,25.9,77.7,320.19,342.74,22.55,41.21,Kaketo,7.5541,1.2487,3.219,71.545,41.21,0.2419,341.38,29.88,37.891,19.439,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
Tigra,Tigra,Gwalior,Kunwari,Ganges - Bramaputra,26.22,78.01,211.83,225.55,13.72,124.23,Tigra,15.9044,1.2502,2.793,91.647,124.23,0.5693,220.8,40.15,69.995,24.024,High - official capacity calibrated,Official FRL capacity calibrated with RS waterbody area; RS geometry capacity is screening until FABDEM/altimetry curve is connected.
